Code,Scope,Type,Copy,Char Count,Usage,Notes
UH1,Universal,Headline,Learn a book in 15 minutes. Free.,33,All creatives,Mechanism-first + zero-risk signal. Tests 15-minute product function.
UH2,Universal,Headline,"1,000+ books. Try it free today.",32,All creatives,Scale-first + trial prompt. Tests product breadth.
UD1,Universal,Description,15-min reads. Try free.,23,All creatives,Description field only.
UD2,Universal,Description,"1,000+ books. Start free.",25,All creatives,Description field only.
UV1,Universal,Primary Text,"Bookster turns any book into a 15-minute read - key ideas, clear takeaways, audio or text. Try it free, no card needed.",119,All creatives,Mechanism to benefit stack to no-card close.
UV2,Universal,Primary Text,Stop leaving books unfinished. Bookster delivers the ideas that matter in 15 minutes or less. Try free - no card required.,122,All creatives,Problem to solution to zero-risk close.
C1H1,C1,Headline,The reading habit that keeps you ahead.,39,C1 creatives,Identity-led competitive advantage.
C1H2,C1,Headline,Finish more books. Fall behind less.,36,C1 creatives,Problem-in-headline format.
C1V1,C1,Primary Text,"High performers read more - but not full books. Bookster gives you the key ideas in 15 minutes a day. Start free, no card required.",131,C1 creatives,Aspirational entry + rational mechanism.
C1V2,C1,Primary Text,"You know which books matter. You just never finish them. Bookster fixes that - 15 minutes, key ideas retained. Start free.",122,C1 creatives,Assertive problem-first entry.
C2H1,C2,Headline,Finally understand what matters.,32,C2 creatives,Depth-seeker aspiration.
C2H2,C2,Headline,Go deeper on what you care about.,33,C2 creatives,Identity need for depth.
C2V1,C2,Primary Text,"Bookster covers philosophy, history, economics, science - 1,000+ titles condensed into 15-minute reads that hold the real ideas. Start free.",140,C2 creatives,Subject breadth as proof.
C2V2,C2,Primary Text,You consume more content than most people you know. Bookster turns that into knowledge you actually keep. Start learning free.,126,C2 creatives,Retention anxiety solution.
C3H1,C3,Headline,Reading that works the way you think.,37,C3 creatives,"Behavioral, no diagnostic reference."
C3H2,C3,Headline,No long books. No guilt. Just ideas.,36,C3 creatives,Permission and brevity signal.
C3V1,C3,Primary Text,"Most books were not built for how your brain actually works. Bookster was. Short, structured, no 300-page commitment. Try it free.",130,C3 creatives,Externalizes problem without pathologizing.
C3V2,C3,Primary Text,You are not bad at reading. You are stuck with a format that fights you. Bookster fits how you think. Try it free - no pressure.,128,C3 creatives,Relief language and no-pressure close.
C4H1,C4,Headline,The smarter way to read - and finish.,37,C4 creatives,Method and finish outcome.
C4H2,C4,Headline,Less than a coffee. More than a book.,37,C4 creatives,Commercial price comparison.
C4V1,C4,Primary Text,"You have spent hundreds on books you have not finished. Bookster gives you 1,000+ titles for less than a coffee a month. Try it free.",133,C4 creatives,Sunk-cost framing + value comparison.
C4V2,C4,Primary Text,"Stop buying books you will not finish. Bookster delivers the ideas in 15 minutes, for less than $10 a month. Start free today.",126,C4 creatives,Assertive price/value close.
